Date / Time, _IO_EM_DI_00, _IO_EM_DI_01, _IO_P3_AI_00, _IO_P3_AI_01, TEMP_Scaled_Value, _IO_P2_AO_00, _IO_P2_AO_01, _IO_EM_DO_00, _IO_EM_DO_01
2022-03-03/15:38:34.334143, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:34.885668, False, False, 20919, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:35.437142, False, False, 20921, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:38:35.982643, False, False, 20922, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:36.519509, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:37.059758, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:37.614504, False, False, 20923, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:38.166273, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:38.715187, False, False, 20922, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:38:39.264315, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:39.819831, False, False, 20922, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:40.372474, False, False, 20921, 33473, 79.91416931152344, 65535, 65535, False, False
2022-03-03/15:38:40.907136, False, False, 20921, 33480, 79.94300842285156, 65535, 65535, False, False
2022-03-03/15:38:41.457965, False, False, 20921, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:41.996645, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:42.543886, False, False, 20923, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:38:43.084338, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:43.637349, False, False, 20913, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:44.188973, False, False, 20918, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:44.737087, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:45.290399, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:45.852645, False, False, 20921, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:46.407337, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:46.959397, False, False, 20923, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:47.500545, False, False, 20920, 33495, 80.00480651855469, 65535, 65535, False, False
2022-03-03/15:38:48.045809, False, False, 20920, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:48.599285, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:49.146535, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:49.688759, False, False, 20920, 33515, 80.08720397949219, 65535, 65535, False, False
2022-03-03/15:38:50.256514, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:50.810628, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:51.363893, False, False, 20922, 33489, 79.98008728027344, 65535, 65535, False, False
2022-03-03/15:38:51.914025, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:52.469935, False, False, 20923, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:38:53.024692, False, False, 20922, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:53.578367, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:54.118630, False, False, 20922, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:54.678347, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:55.240545, False, False, 20921, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:55.808161, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:56.352300, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:56.897297, False, False, 20920, 33485, 79.96360778808594, 65535, 65535, False, False
2022-03-03/15:38:57.434427, False, False, 20922, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:57.979984, False, False, 20922, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:38:58.526864, False, False, 20920, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:38:59.075472, False, False, 20921, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:38:59.640249, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:00.204191, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:00.751085, False, False, 20920, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:01.293135, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:01.845971, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:39:02.386961, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:02.930623, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:03.479235, False, False, 20920, 33484, 79.95948791503906, 65535, 65535, False, False
2022-03-03/15:39:04.039973, False, False, 20920, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:39:04.611592, False, False, 20923, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:39:05.161083, False, False, 20918, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:39:05.694386, False, False, 20920, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:39:06.231963, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:06.789237, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:07.333541, False, False, 20921, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:39:07.891345, False, False, 20922, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:08.454364, False, False, 20922, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:39:09.005975, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:09.549307, False, False, 20922, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:39:10.088137, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:10.633511, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:11.174890, False, False, 20921, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:39:11.714971, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:12.259916, False, False, 20920, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:39:12.807435, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:13.360393, False, False, 20920, 33489, 79.98008728027344, 65535, 65535, False, False
2022-03-03/15:39:13.921883, False, False, 20923, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:39:14.457602, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:15.006794, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:15.554252, False, False, 20923, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:16.096069, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:16.640578, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:17.197530, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:17.753377, False, False, 20922, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:39:18.303859, False, False, 20919, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:18.840407, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:19.400051, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:19.947860, False, False, 20914, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:20.497044, False, False, 20920, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:39:21.042257, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:21.575923, False, False, 20921, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:39:22.135779, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:39:22.689901, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:23.230291, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:39:23.773628, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:24.320648, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:39:24.862889, False, False, 20923, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:39:25.402323, False, False, 20921, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:39:25.938592, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:26.479882, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:27.025244, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:39:27.584326, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:39:28.133472, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:39:28.699778, False, False, 20920, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:39:29.236178, False, False, 20922, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:39:29.778571, False, False, 20922, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:39:30.315741, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
